CVE Reference       Cross Referenced File                   Test File                                         
CVE-2021-0442       TaskPositioner.java                     WindowManagerPermissionTests.java                 
CVE-2021-0442       InputMonitor.java                       WindowManagerPermissionTests.java                 
CVE-2021-0442       WindowState.java                        WindowManagerPermissionTests.java                 
CVE-2021-0442       WindowState.java                        ActivityManagerPermissionTests.java               
CVE-2021-0442       DragState.java                          WindowManagerPermissionTests.java                 
CVE-2021-0442       InputMonitor.java                       ActivityManagerPermissionTests.java               
CVE-2021-0472       LockTaskController.java                 ActivityManagerPermissionTests.java               
CVE-2021-0472       LockTaskControllerTest.java             WindowManagerPermissionTests.java                 
CVE-2021-0472       LockTaskController.java                 WindowManagerPermissionTests.java                 
CVE-2021-0485       symbols.xml                             VibratorManagerServicePermissionTest.java         
CVE-2021-0486       PackageManagerService.java              PmPermissionsTests.java                           
CVE-2021-0486       PackageManagerService.java              ActivityManagerPermissionTests.java               
CVE-2021-0521       PackageManagerService.java              PmPermissionsTests.java                           
CVE-2021-0521       PackageManagerService.java              ActivityManagerPermissionTests.java               
CVE-2021-0595       RootWindowContainer.java                WindowManagerPermissionTests.java                 
CVE-2021-0683       ActivityManagerShellCommand.java        ActivityManagerPermissionTests.java               
CVE-2021-0683       ActivityManagerShellCommand.java        WindowManagerPermissionTests.java                 
CVE-2021-0688       PhoneWindowManager.java                 VibratorManagerServicePermissionTest.java         
CVE-2021-0688       PhoneWindowManager.java                 ActivityManagerPermissionTests.java               
CVE-2021-0688       PhoneWindowManager.java                 WindowManagerPermissionTests.java                 
CVE-2021-0704       AccountManagerService.java              ActivityManagerPermissionTests.java               
CVE-2021-0704       symbols.xml                             VibratorManagerServicePermissionTest.java         
CVE-2021-0705       NotificationManagerService.java         ActivityManagerPermissionTests.java               
CVE-2021-0705       NotificationManagerService.java         VibratorManagerServicePermissionTest.java         
CVE-2021-0705       NotificationManagerService.java         WindowManagerPermissionTests.java                 
CVE-2021-0708       ActivityManagerShellCommand.java        ActivityManagerPermissionTests.java               
CVE-2021-0708       ActivityManagerShellCommand.java        WindowManagerPermissionTests.java                 
CVE-2021-0799       ActivityThread.java                     ActivityManagerPermissionTests.java               
CVE-2021-39619      UsageStatsService.java                  ActivityManagerPermissionTests.java               
CVE-2021-39619      DevicePolicyManagerService.java         ActivityManagerPermissionTests.java               
CVE-2021-39624      PackageInstallerService.java            PmPermissionsTests.java                           
